"","name","type","address","city","state","zip","lat","lon"
"1","1933 BREWING COMPANY","Manufacturer (brewery)","4025 S MASON ST UNIT C","FORT COLLINS","CO",80525,40.5311387,-105.0801963
"2","300 SUNS BREWING","Manufacturer (brewery)","335 1ST AVE UNIT C","LONGMONT","CO",80501,40.1598532,-105.1011372
"3","38 STATE BREWING COMPANY","Manufacturer (brewery)","8071 A SOUTH BROADWAY","LITTLETON","CO",80122,39.5690263,-104.9886201
"4","4 NOSES BREWING COMPANY","Manufacturer (brewery)","8855 W 116TH CIR, STE 4","BROOMFIELD","CO",80021,39.90658,-105.09859
"5","7 HERMITS BREWING COMPANY","Brew Pub (city)","0717 SYLVAN LAKE RD #B-1-01","EAGLE","CO",81631,39.6399078,-106.8322597
"6","ALPINE DOG BREWING COMPANY LLC","Manufacturer (brewery)","1505","DENVER","CO",80218,39.689219,-104.9407423
"7","FORT COLLINS BREWERY/GRAVITY 1020","Brew Pub (city)","1020 E LINCOLN AVE","FORT COLLINS","CO",805242509,40.5891748,-105.0585726
"8","AMICAS","Brew Pub (city)","136 E 2ND ST","SALIDA","CO",812012115,38.8191908,-102.3498184
"10","ASCEND BREWING COMPANY","Manufacturer (brewery)","8381 E BRIARWOOD BLVD","CENTENNIAL","CO",80112,39.590154,-104.891942
"11","ASHER BREWING COMPANY LLC","Manufacturer (brewery)","4699 NAUTILUS CT STE 104","BOULDER","CO",803015304,40.059769,-105.2059084
"12","ASPEN BREWING COMPANY","Manufacturer (brewery)","304 EAST HOPKINS AVENUE","ASPEN","CO",81611,39.190334,-106.820307
"13","AVALANCHE BREWING CO","Brew Pub (city)","1067 BLAIR ST","SILVERTON","CO",81433,37.8097608,-107.664811
"14","AVERY BREWING COMPANY","Manufacturer (brewery)","5763 ARAPAHOE AVE","BOULDER","CO",803031350,40.0161556,-105.2187145
"15","BRECKENRIDGE BREWERY DENVER","Brew Pub (city)","2220 BLAKE ST","DENVER","CO",802052013,39.756297,-104.991249
"16","STATION 26 BREWING CO","Manufacturer (brewery)","7045 E 38TH AVE","DENVER","CO",80207,39.7696012,-104.9059586
"17","BARRELS AND BOTTLES BREWERY","Brew Pub (city)","600 12TH STREET UNIT 180","GOLDEN","CO",80401,39.7565255,-105.2199546
"18","BRECKENRIDGE BREWERY","Brew Pub (city)","600 S MAIN ST","BRECKENRIDGE","CO",80424,39.4761913,-106.0438304
"19","BEER BY DESIGN BREWERY","Manufacturer (brewery)","2100 E 112TH AVE UNIT 1","NORTHGLENN","CO",80233,39.898834,-104.963312
"20","BERTHOUD BREWING CO","Manufacturer (brewery)","450 8TH ST UNIT B","BERTHOUD","CO",80513,40.304639,-105.0850895
"21","BERYL'S BEER CO","Manufacturer (brewery)","3120 C BLAKE ST","DENVER","CO",80205,39.7647494,-104.9803474
"22","BIG BEAVER BREWING COMPANY LTD","Manufacturer (brewery)","2707 W EISENHOWER BLVD UNIT #9","LOVELAND","CO",805373141,40.4079804,-105.114465
"23","BIG CHOICE BREWING LLC","Manufacturer (brewery)","7270 W 118TH PL UNIT A","BROOMFIELD","CO",800206904,39.909939,-105.078369
"24","BIG THOMPSON BREWERY","Manufacturer (brewery)","114 E 15TH ST","LOVELAND","CO",80538,40.408189,-105.0754747
"25","BLACK BOTTLE BREWERY","Brew Pub (city)","1611 S COLLEGE AVE STE 1605/1609","FORT COLLINS","CO",805251074,40.5662462,-105.0785806
"26","BREW PUB & KITCHEN","Brew Pub (city)","117 W COLLEGE DR","DURANGO","CO",81301,37.2706098,-107.882328
"27","BLACK SHIRT BREWING COMPANY LLC","Manufacturer (brewery)","3719 WALNUT ST","DENVER","CO",802052436,39.769858,-104.972962
"28","BLACK SKY BREWERY","Brew Pub (city)","490 SANTA FE DRIVE","DENVER","CO",80204,39.723938,-104.998298
"29","BLUE SPRUCE BREWING","Brew Pub (city)","4151 E COUNTY LINE RD UNIT G","CENTENNIAL","CO",80122,39.5661248,-104.9406895
"30","BONFIRE BREWING LLC","Manufacturer (brewery)","127 SECOND ST","EAGLE","CO",81631,38.0715911,-103.2176431
"31","BONFIRE BREWING","Manufacturer (brewery)","936 CHAMBERS COURT, UNITS B2B, B3 AND B4","EAGLE","CO",81631,39.6552634,-106.8286507
"32","BOOTSTRAP BREWING","Manufacturer (brewery)","6778 N 79TH ST","NIWOT","CO",805037175,40.0998676,-105.1683954
"33","BOTTOM SHELF BREWERY","Brew Pub (city)","118 EAST MILL ST","BAYFIELD","CO",81122,37.225009,-107.599083
"34","BOULDER BEER COMPANY","Brew Pub (city)","2880 WILDERNESS PL","BOULDER","CO",803012258,40.0266222,-105.2480501
"35","SMUGGLER'S BREW PUB AND GRILLE","Brew Pub (city)","225 SOUTH PINE STREET","TELLURIDE","CO",81435,37.935736,-107.811659
"36","TASTING ROOM AT BRECKENRIDGE BREWERY","Brew Pub (city)","471 KALAMATH","DENVER","CO",802045019,39.7236683,-105.0006015
